alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider,Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
0.04557821120069381+0i,0.05507383212682272,0.2866200439169842,0.4052854109224229,3.274380362452978e-05,0.0001234841892653882,917.2279884314404,-67.34180636885156,-259.4766204005125,35.42080926244422,-59.50305342036584,640.5370760909951,67.48686816213757,-259.4766204005125,640.5370760909951,-0.959592982946265,0.9902784835983992,0.4154479153456029,67.63823088506065,-46.05710012109097,113.6953310061516,2.1745464028336148,-1.480720298013989,3.6552667008476036,4.4712715439002215,256.1849885224264,-8.09509907045895,-460.0981364960464,0.032149664093504685,0.1033333333333333,-3.311424244114047,2080.401145963722,-1353.691336000991,3434.092481964714,18.26310219702706,-47.61531181090422
0.04326313513965859+0i,0.006261993168607205,0.2866634180809763,0.405362098504687,2.460256585701259e-05,0.0001280450136483258,920.8562758152983,-67.39744845809686,-259.4527953611208,35.489436018856956,-61.46512814958064,644.008842388861,67.5602354470273,-259.4527953611208,644.008842388861,-0.9595048735027888,0.9900920772935198,0.4176070219940303,68.25869834742387,-46.05287117659894,114.31156952402279,2.040090160457467,-1.376410796320739,3.416500956778207,4.471120294068778,256.1763225454326,-8.095250320290393,-460.10680247304015,0.02988762179544933,0.1066666666666667,-3.029600821637677,2148.309427957316,-1399.862852364722,3548.172280322039,16.75245710673658,-43.88277787351048
0.04125657853943471+0i,-0.013574738781301221,0.2866993362188599,0.4053674264278034,3.8193992530272114e-05,0.0001161787504098677,927.309245349954,-65.63454458771918,-263.3150401140962,34.82594144520404,-64.20438955286177,647.0558751691483,67.34713926670211,-263.3150401140962,647.0558751691483,-0.9624178364614816,0.9898182245780268,0.4138218582197285,68.11399822227173,-46.738419620252074,114.8524178425238,1.838166106447982,-1.26131164014975,3.099477746597732,4.471415665628818,256.1932460892111,-8.094954948730352,-460.0898789292617,0.02698661294921524,0.11,-2.7546240789859744,2216.257892573558,-1445.917838013567,3662.175730587127,15.323891559569221,-40.34689404469757
0.03938799789154997+0i,0.044042982701398614,0.2867211613878907,0.4053684506248673,2.354104036700333e-05,9.336754832894868e-05,921.0988950759332,-60.41929741340602,-263.4528550142527,31.61216092430638,-57.256591012179115,643.3150754658991,63.41990935307593,-263.4528550142527,643.3150754658991,-0.968097695030244,0.991294984621936,0.4124011248763156,67.42554413016721,-46.76288176502987,114.18842589519708,1.6042583981938032,-1.112630928872667,2.7168893270664705,4.4714600086824055,256.1957867590324,-8.094910605676766,-460.0873382594405,0.023793035990880985,0.1133333333333333,-2.584637523094638,2284.444240858406,-1492.313483411993,3776.7577242703996,14.00503034133397,-37.0889046930096
0.04414671093165755+0i,-0.03529474384311015,0.2867237679960508,0.4054179399083305,3.099658345784295e-05,9.841568341661945e-05,922.5822844987096,-65.58468890712521,-266.1954849479548,39.07141107069484,-57.741543542165935,639.7221712174833,65.52560084944066,-266.1954849479548,639.7221712174833,-0.9612516194836874,0.9908090466329518,0.4048708636026826,66.30098681284127,-47.24969857826198,113.5506853911033,1.374834936486571,-0.9797823451290288,2.3546172816156,4.471464736762879,256.1960576580886,-8.094905877596293,-460.0870673603842,0.02073626657122833,0.1166666666666667,-2.517005907808287,2352.2140120346257,-1539.0641341046328,3891.27814613926,12.81805905682276,-34.180721156177505
0.04140290471484888+0i,-0.008861392663789047,0.286743703653657,0.4054846008549679,1.4416250741750006e-05,7.651281597442772e-05,935.2051851295863,-69.15169644005546,-269.2530501850749,36.432750370765355,-53.78469383479322,649.5952536703603,62.80342404546725,-269.2530501850749,649.5952536703603,-0.9603540704903544,0.9919958503434724,0.4066938566348768,67.51074111863817,-47.79241640785079,115.30315752648899,1.182123633898992,-0.8368526847835919,2.0189763186825838,4.47135988780746,256.1900502554568,-8.095010726551713,-460.093074763016,0.017510156373807532,0.12,-2.5265082627340982,2419.07727750613,-1586.070424276279,4005.1477017824095,11.771852419821913,-31.644967851836466
0.03962132457812403+0i,-0.036392799226973686,0.2867527063171829,0.405471674530079,5.3775317427923186e-05,8.746892024330545e-05,922.5527328742912,-61.68791183815952,-262.0320015524913,31.50430001567882,-54.78893913065281,645.9817988451821,64.68481792714368,-262.0320015524913,645.9817988451821,-0.9667913296571256,0.9914994194848116,0.4161819521107077,68.15108901945261,-46.51068027556721,114.6617692950198,0.9052265141422884,-0.6177847130839048,1.5230112272261933,4.471823645992161,256.2166216421547,-8.094546968367013,-460.0665033763181,0.01328264195285135,0.1233333333333333,-2.69437916381468,2485.9831414718697,-1633.591481769336,4119.5746232412075,10.863534904865599,-29.45817105168738
0.04218180003146024+0i,-0.01487511441450806,0.2867214177073348,0.4054598332365281,4.1415128109956185e-05,0.00010658896432858,932.320242345932,-71.09187679324735,-266.0091639491995,42.583164461509135,-52.03181323676267,648.7431114050734,61.24592104869018,-266.0091639491995,648.7431114050734,-0.9547434401789548,0.9924145023702121,0.4105176848813529,67.93527567341759,-47.21662660098289,115.1519022744005,0.5785343208714007,-0.4020950637744568,0.9806293846458574,4.471743954968908,256.21205568285717,-8.094626659390265,-460.0710693356156,0.008515963395108078,0.1266666666666667,-3.100670393332613,2553.814056540915,-1680.7430301110446,4234.557086651961,10.13621620593186,-27.687177278732985
0.04286895686701862+0i,-0.052719571849422664,0.2867134177566247,0.4054729721853393,5.646471743950277e-05,6.483164650805673e-05,932.2131580111014,-74.43653117676078,-271.89390868448294,44.096337954319715,-48.084678867954786,642.2323627992697,60.72038289296058,-271.89390868448294,642.2323627992697,-0.9529198673927092,0.9928060794886991,0.3972679970586478,65.73507560537469,-48.26116879149571,113.99624439687041,0.3348883943653895,-0.24586729653749104,0.5807556909028806,4.4716972351729405,256.2093788357286,-8.094673379186233,-460.07374618274423,0.00509451599897465,0.13,-3.728520883225352,2621.85723888735,-1727.60668354932,4349.463922436671,9.626276317502676,-26.43535697279696
0.04226464698965512+0i,-0.06339666849004287,0.2866851256935563,0.40543643374667,8.202898230946776e-05,8.184307073633157e-05,953.7033754952313,-75.84414516617956,-281.2192085917698,39.628579858815925,-45.952869793177406,655.115028348596,63.13678216678194,-281.2192085917698,655.115028348596,-0.956688411368792,0.9929705968999544,0.3920462371884472,66.36650800683665,-49.916409525039136,116.2829175318758,0.2672398464052768,-0.20099978159465892,0.4682396279999358,4.471462973277957,256.1959566178453,-8.094907641081216,-460.0871684006275,0.004026727553267493,0.1333333333333333,-4.555977558815743,2688.692414526746,-1775.345581245559,4464.037995772306,9.302295137346702,-25.654664435022607
