Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
95978.50760068894,27098.35453077177,68880.15306991719,225786.48198182712,223623.8888261312
96270.89321944313,27099.27889079981,69171.6143286433,225795.63618535578,226490.30171841301
96566.20690533226,27098.92276379859,69467.28414153369,225792.2474920058,229345.6189163995
96865.5918204156,27097.505375219618,69768.08644519596,225778.77523070193,232209.6784674302
97169.52365585776,27095.932618761068,70073.59103709666,225763.92450915102,235092.77040394238
97476.03316228307,27094.003279140117,70382.02988314295,225745.7694280739,237995.0451498494
97784.80935301656,27091.60044900126,70693.20890401528,225723.0630964695,240936.5793604788
98095.08359572488,27089.04980214749,71006.03379357737,225698.6060732652,243932.9165053799
98404.99273014434,27085.763169907157,71319.22956023716,225666.48298652878,246990.09861377013
98715.33208578406,27081.22741526241,71634.10467052164,225621.4685470564,250111.9549449894
99025.44190641283,27075.910351747018,71949.5315546658,225568.6069952949,253247.8343442168
99335.51618672557,27070.804414169437,72264.7117725561,225518.3934324044,256346.5394368664
99643.70963084098,27066.314306992583,72577.39532384838,225474.9106982927,259372.5639541206
99948.56574008096,27062.05834915253,72886.50739092841,225434.12387075328,262335.25793444534
100251.48446174711,27058.716029042203,73192.76843270485,225402.0740753409,265275.8205081704
100552.4098047857,27056.61484644696,73495.79495833875,225381.67568982558,268218.75689922174
100849.44475075789,27054.31029690249,73795.1344538554,225358.9576691234,271166.7924692699
