alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr,ForcePiedAr,ForcePiedAv,ForcePiedAv,ForcePiedAv,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider
0.01538523847238742+0i,-0.5752476804215405,,,,,828.8696903860251,-30.409681747165408,-343.4685859620767,38.32814923137217,-82.09567296782359,474.6237370158839,15.901611038370518,-343.4685859620767,474.6237370158839,-0.9900061139546562,0.9848316733417698,0.1582337399654764,23.280039312050782,-60.965674008268614,84.24571332031941,1.019314484770409,-2.669376703253716,3.688691188024125,4.455736046204971,255.29487007185318,-8.1106345681542,-460.98825494661963,0.043784912521293136,15.97,-1.6107966612502858
0.01440272615569211+0i,-0.5953033312553089,,,,,835.4007965956938,-36.36213738241036,-352.92688730691185,37.353668457965895,-80.29815049543166,471.5977792151081,15.764564241906712,-352.92688730691185,471.5977792151081,-0.9892666802076572,0.9852772783822046,0.1420526439426285,21.064083313704828,-62.644522496976855,83.70860581068169,1.028544322786352,-3.0588878238060264,4.087432146592379,4.455980216325443,255.3088599892395,-8.11039039803373,-460.9742650292333,0.04882929427634547,15.973333333333331,-2.080216028986088
0.01464505466661306+0i,-0.5958979203354318,,,,,835.7355227394827,-33.71554271458316,-346.6646499553156,35.819833761374504,-84.7262844078327,477.87801563844886,16.11287951916006,-346.6646499553156,477.87801563844886,-0.9900818355911041,0.9841017987804416,0.1570034563722086,23.29037240875616,-61.53297536706852,84.82334777582469,1.123509400689279,-2.968302741749736,4.091812142439015,4.455993862416772,255.3096418526794,-8.1103767519424,-460.97348316579337,0.04823922009365933,15.97666666666667,-2.623809940506747
0.01756575699058444+0i,-0.6053008487378122,,,,,836.1810756310779,-37.025419434676536,-350.4981032999314,38.70495252616489,-78.76500215875356,474.69993090571677,20.19919921931357,-350.4981032999314,474.69993090571677,-0.9885238582894852,0.9856441472198902,0.1485346071866654,22.045824400026923,-62.21341333573782,84.25923773576473,0.9145530067835844,-2.580872604083678,3.495425610867263,4.456510904432693,255.33926617802268,-8.109859709926479,-460.94385884045,0.04148418268188999,15.98,-3.066668501038831
0.01676883649097097+0i,-0.6298498077223941,,,,,833.4510119623966,-37.06629703491409,-350.48813923389605,38.756023166682205,-82.49611303530158,471.3846671146975,17.90599158920677,-350.48813923389605,471.3846671146975,-0.9884957562344134,0.98434029761176,0.1450553495593525,21.45913369884227,-62.21164471401654,83.67077841285881,0.6444566929601613,-1.8683284879375457,2.512785180897707,4.456575923459586,255.3429914938517,-8.109794690899587,-460.9401335246211,0.03003181311997372,15.98333333333333,-3.25633932299474
0.01738532831943814+0i,-0.62658112280414,,,,,823.3357389697666,-30.431870592654967,-343.4118728991989,38.81561688742103,-82.58654395386823,468.8242958452261,18.442404354731732,-343.4118728991989,468.8242958452261,-0.989842645499942,0.98409819181604,0.1523223358468014,22.260705072919823,-60.9556074396078,83.21631251252762,0.3826227778919719,-1.0477208053489622,1.430343583240934,4.456621640999169,255.3456109159195,-8.109748973360004,-460.93751410255334,0.01718825960986443,15.98666666666667,-3.089440897968791
0.01552745910879061+0i,-0.6518353545863533,,,,,835.6293943784401,-31.406862146273102,-352.7350738124981,34.586577157909495,-82.02776233138104,472.4804950629844,15.96940957896799,-352.7350738124981,472.4804950629844,-0.9913426911195862,0.9847161143993008,0.143299675736701,21.25481227196132,-62.610475601718406,83.86528787367973,0.1329886613935665,-0.39174579539670296,0.5247344567902695,4.4564949880203555,255.3383542347707,-8.109875626338816,-460.9447707837021,0.006256873017363744,15.99,-2.522249250749839
0.01343030582391391+0i,-0.6719969702465107,,,,,832.2153942398378,-31.48695760375515,-352.7186623609034,34.68099378734614,-81.94951419977265,468.9465720196051,18.17332134978027,-352.7186623609034,468.9465720196051,-0.9912965676297576,0.9843548588940368,0.1396608503798066,20.63045396441956,-62.607562569060356,83.2380165334799,-0.017046550997627058,0.05173143596409665,-0.0687779869617237,4.456598988300065,255.3443130118663,-8.109771626059107,-460.9388120066065,-0.0008262809450061788,15.99333333333333,-1.62086922830796
0.01194966824264615+0i,-0.6623473434319749,,,,,837.4293875969379,-31.530101373267232,-352.6995149587893,34.83618036050745,-77.35805075364294,474.95941118969466,19.5255556130295,-352.6995149587893,474.95941118969466,-0.99124275490018,0.9861829196244574,0.145994274910436,21.701131580985713,-62.60416390518511,84.30529548617082,-0.07246458781725566,0.2090483123473644,-0.2815129001646201,4.456473781495233,255.3371391903831,-8.109896832863939,-460.9459858280896,-0.003339207798765127,15.99666666666667,-0.6028817099949391
0.01715015516254547+0i,-0.6719300345329771,,,,,835.2607428929684,-31.96603452859602,-352.9116461192917,40.10731678175428,-83.69189681041972,471.04643135735984,14.45407965007947,-352.9116461192917,471.04643135735984,-0.9896043821729368,0.984131367023338,0.1414346193607786,20.96892437975709,-62.64181718617427,83.61074156593133,-0.028371450554116138,0.08475585999219072,-0.1131273105463068,4.456440096852463,255.3352092025179,-8.10993051750671,-460.94791581595484,-0.001353023647770187,16.0,0.2440013813005856
